"mes","medida","total"
"Novembro","Reduziu contato","343910"
"Novembro","Sai só se necessário","295456"
"Novembro","Rigorosamente em casa","85146"
"Novembro","Vida normal","35730"
"Novembro","Ignorado","2634"
"Outubro","Reduziu contato","327368"
"Outubro","Sai só se necessário","299556"
"Outubro","Rigorosamente em casa","96314"
"Outubro","Vida normal","34276"
"Outubro","Ignorado","3408"
"Setembro","Sai só se necessário","322888"
"Setembro","Reduziu contato","297748"
"Setembro","Rigorosamente em casa","127726"
"Setembro","Vida normal","22382"
"Setembro","Ignorado","3852"
