"atividade_desc","soma"
"Não aplicável","1433944"
"Agricultura, pecuária, produção florestal e pesca","122264"
"Comércio","118246"
"Indústria de transformação","71494"
"Educação","63806"
"Construção","60100"
"Saúde","57982"
"Outros","51880"
"Administração pública","49826"
"Serviço doméstico","44570"
"Alimentação","41022"
"Serviços administrativos","25358"
"Serviços profissionais","23400"
"Reparação de veículos","18542"
"Transporte de mercadorias","18472"
"Serviços pessoais","17910"
"Transporte de passageiros","17690"
"Informação e comunicação","15396"
"Bancos e seguros","11826"
"Eletricidade, gás, água e esgoto","7514"
"Atividades artísticas e esportivas","6452"
"Extração de petróleo, carvão mineral e minerais","6264"
"Atividades imobiliárias","4376"
"Organizações e associações","3614"
"Hospedagem","3334"
"Armazenamento, correios e entregas","3112"
